user_id,skin_type,primary_concern,secondary_concern,signup_date
251,oily,dullness,sensitivity,2025-04-30
252,combination,acne,aging,2025-05-18
253,oily,dullness,sensitivity,2025-07-08
254,dry,aging,dullness,2024-10-30
255,sensitive,acne,pigmentation,2025-01-19
256,oily,pigmentation,acne,2026-02-21
257,sensitive,dehydration,aging,2024-11-16
258,oily,sensitivity,acne,2026-02-28
259,oily,dullness,sensitivity,2026-05-10
260,combination,sensitivity,pigmentation,2025-09-02
261,sensitive,pigmentation,acne,2025-09-22
262,oily,pigmentation,acne,2024-12-09
263,dry,sensitivity,dullness,2025-02-13
264,normal,pigmentation,aging,2026-05-25
265,normal,dullness,acne,2025-07-07
266,combination,pigmentation,dehydration,2024-12-02
267,combination,pigmentation,sensitivity,2025-01-17
268,dry,aging,pigmentation,2025-07-05
269,sensitive,aging,dehydration,2025-04-12
270,combination,sensitivity,aging,2025-05-22
271,dry,sensitivity,pigmentation,2026-01-18
272,oily,dullness,sensitivity,2025-05-20
273,oily,dullness,sensitivity,2025-02-28
274,normal,acne,dehydration,2026-05-26
275,combination,pigmentation,dehydration,2025-02-13
276,combination,acne,dehydration,2026-01-05
277,combination,sensitivity,dullness,2026-07-01
278,sensitive,pigmentation,dullness,2024-12-31
279,oily,aging,pigmentation,2025-09-24
280,oily,sensitivity,acne,2025-09-08
281,dry,dehydration,dullness,2025-04-06
282,combination,dullness,dehydration,2025-05-23
283,sensitive,acne,aging,2025-04-09
284,combination,dullness,aging,2024-08-15
285,combination,dullness,pigmentation,2025-03-18
286,normal,pigmentation,dullness,2026-06-03
287,oily,dehydration,dullness,2026-01-25
288,combination,sensitivity,acne,2025-08-12
289,combination,pigmentation,sensitivity,2025-07-26
290,combination,pigmentation,dehydration,2025-10-15
291,normal,pigmentation,dullness,2026-02-22
292,dry,sensitivity,dehydration,2026-04-20
293,normal,acne,dehydration,2026-03-23
294,dry,sensitivity,acne,2024-08-10
295,combination,dehydration,sensitivity,2025-09-20
296,combination,aging,dullness,2024-08-03
297,normal,dullness,acne,2025-11-04
298,combination,sensitivity,aging,2025-11-21
299,dry,dehydration,aging,2025-07-14
300,oily,pigmentation,sensitivity,2024-08-13
301,dry,acne,pigmentation,2025-05-21
302,normal,dullness,acne,2026-06-11
303,oily,acne,dehydration,2025-12-20
304,normal,acne,sensitivity,2024-07-19
305,combination,sensitivity,pigmentation,2026-03-16
306,oily,aging,dullness,2024-11-02
307,dry,dullness,dehydration,2024-08-27
308,combination,pigmentation,dullness,2026-01-31
309,dry,acne,dullness,2025-05-24
310,oily,acne,aging,2025-04-24
311,sensitive,aging,dullness,2024-12-03
312,sensitive,acne,aging,2024-11-30
313,oily,aging,dehydration,2026-05-24
314,dry,pigmentation,dehydration,2025-11-15
315,dry,dullness,dehydration,2024-08-18
316,sensitive,dullness,pigmentation,2025-10-21
317,sensitive,pigmentation,dehydration,2026-01-08
318,sensitive,aging,dehydration,2025-04-03
319,normal,acne,sensitivity,2026-02-14
320,sensitive,pigmentation,sensitivity,2026-03-21
321,dry,sensitivity,acne,2024-11-30
322,oily,sensitivity,acne,2026-04-11
323,sensitive,aging,dullness,2024-09-23
324,normal,sensitivity,aging,2026-01-05
325,normal,dullness,sensitivity,2026-04-19
326,dry,acne,aging,2025-01-11
327,dry,sensitivity,aging,2026-02-27
328,oily,aging,sensitivity,2025-10-12
329,oily,dullness,dehydration,2025-10-23
330,combination,dullness,dehydration,2025-07-01
331,combination,pigmentation,sensitivity,2025-07-25
332,dry,dehydration,dullness,2026-02-14
333,dry,dullness,aging,2026-01-16
334,normal,aging,pigmentation,2026-02-15
335,combination,pigmentation,dehydration,2026-05-27
336,normal,dehydration,dullness,2025-03-18
337,normal,pigmentation,acne,2025-07-27
338,dry,acne,sensitivity,2026-04-18
339,dry,sensitivity,acne,2025-11-06
340,normal,pigmentation,aging,2025-03-05
341,sensitive,dullness,acne,2025-12-10
342,dry,dehydration,pigmentation,2025-09-17
343,sensitive,sensitivity,dehydration,2025-01-09
344,combination,dullness,sensitivity,2025-03-03
345,normal,dehydration,dullness,2025-02-09
346,dry,sensitivity,dehydration,2025-09-30
347,normal,sensitivity,dehydration,2025-07-18
348,normal,acne,pigmentation,2024-10-26
349,oily,dehydration,acne,2024-10-07
350,oily,pigmentation,dullness,2026-05-27
351,combination,sensitivity,dullness,2024-11-01
352,oily,acne,dehydration,2024-09-21
353,dry,pigmentation,dehydration,2024-08-17
354,combination,pigmentation,aging,2025-12-22
355,normal,dullness,acne,2025-07-05
356,normal,acne,dehydration,2026-06-05
357,oily,acne,dullness,2026-04-17
358,normal,dullness,sensitivity,2025-05-21
359,oily,sensitivity,aging,2026-02-06
360,sensitive,dullness,pigmentation,2026-01-23
361,normal,aging,sensitivity,2025-12-01
362,normal,dullness,aging,2025-08-05
363,dry,dullness,sensitivity,2026-03-17
364,normal,aging,acne,2024-11-27
365,oily,dullness,aging,2025-03-05
366,combination,acne,aging,2024-12-05
367,combination,pigmentation,dullness,2024-08-29
368,dry,dehydration,sensitivity,2025-04-24
369,oily,aging,dehydration,2025-10-15
370,sensitive,acne,pigmentation,2024-07-22
371,dry,acne,dehydration,2025-05-19
372,sensitive,sensitivity,acne,2025-08-01
373,combination,pigmentation,sensitivity,2025-09-05
374,dry,acne,dullness,2026-06-08
375,normal,dehydration,dullness,2024-08-07
376,oily,dullness,sensitivity,2024-11-15
377,sensitive,aging,dehydration,2025-02-10
378,sensitive,sensitivity,pigmentation,2026-01-26
379,dry,pigmentation,dehydration,2024-08-27
380,dry,dullness,sensitivity,2026-02-28
381,oily,dehydration,sensitivity,2026-01-11
382,normal,dullness,aging,2026-05-16
383,normal,pigmentation,sensitivity,2025-12-08
384,dry,dehydration,sensitivity,2025-11-09
385,oily,dehydration,aging,2024-12-02
386,oily,acne,aging,2025-11-10
387,oily,acne,pigmentation,2024-08-07
388,normal,dehydration,pigmentation,2025-11-27
389,normal,acne,dehydration,2025-06-18
390,oily,sensitivity,acne,2025-04-29
391,sensitive,acne,aging,2024-11-07
392,oily,sensitivity,dehydration,2025-01-03
393,dry,dehydration,acne,2024-10-10
394,combination,aging,dullness,2024-08-20
395,sensitive,pigmentation,dehydration,2026-04-12
396,normal,aging,acne,2026-04-29
397,oily,dehydration,dullness,2025-08-12
398,oily,dehydration,aging,2026-03-19
399,dry,pigmentation,aging,2025-07-11
400,dry,dullness,aging,2025-05-01
401,normal,sensitivity,dullness,2025-12-16
402,sensitive,pigmentation,sensitivity,2026-04-26
403,dry,dehydration,dullness,2024-07-31
404,normal,pigmentation,sensitivity,2025-10-08
405,combination,sensitivity,pigmentation,2024-10-31
406,combination,pigmentation,dehydration,2025-04-06
407,combination,pigmentation,dehydration,2025-03-09
408,oily,aging,sensitivity,2024-12-13
409,normal,aging,acne,2025-12-25
410,oily,pigmentation,sensitivity,2026-01-28
411,oily,dullness,dehydration,2024-07-08
412,dry,acne,dullness,2025-03-05
413,dry,sensitivity,acne,2025-12-05
414,oily,acne,dullness,2025-03-21
415,oily,aging,sensitivity,2025-09-22
416,sensitive,sensitivity,pigmentation,2024-10-16
417,normal,acne,sensitivity,2025-06-30
418,oily,acne,aging,2025-11-19
419,dry,dehydration,sensitivity,2025-02-17
420,combination,acne,aging,2025-01-04
421,normal,sensitivity,dullness,2025-10-07
422,sensitive,aging,dullness,2025-01-03
423,sensitive,sensitivity,aging,2026-01-16
424,combination,pigmentation,dehydration,2026-01-13
425,combination,acne,sensitivity,2024-11-09
426,oily,sensitivity,acne,2025-04-08
427,normal,dehydration,sensitivity,2026-06-11
428,normal,sensitivity,aging,2025-02-28
429,oily,pigmentation,aging,2025-11-25
430,sensitive,aging,acne,2025-12-18
431,oily,dullness,sensitivity,2025-08-30
432,sensitive,aging,sensitivity,2025-08-10
433,normal,pigmentation,aging,2024-09-23
434,oily,aging,acne,2025-08-22
435,combination,dullness,acne,2025-12-02
436,oily,acne,pigmentation,2024-12-18
437,combination,aging,dehydration,2025-06-05
438,normal,pigmentation,aging,2026-07-06
439,oily,acne,pigmentation,2025-03-31
440,dry,acne,dehydration,2025-07-05
441,normal,aging,sensitivity,2025-05-12
442,dry,acne,sensitivity,2026-02-22
443,oily,aging,dehydration,2025-07-22
444,combination,dullness,pigmentation,2025-03-21
445,combination,sensitivity,dullness,2025-02-27
446,sensitive,acne,dehydration,2025-02-24
447,dry,aging,pigmentation,2024-07-07
448,normal,acne,dehydration,2025-07-05
449,combination,aging,acne,2025-08-26
450,dry,aging,acne,2025-06-05
451,normal,dehydration,pigmentation,2025-11-08
452,normal,aging,acne,2025-11-18
453,combination,sensitivity,dehydration,2025-02-17
454,oily,acne,dehydration,2025-11-19
455,combination,acne,dehydration,2025-01-05
456,combination,acne,pigmentation,2025-01-08
457,oily,aging,sensitivity,2024-08-09
458,sensitive,pigmentation,aging,2026-04-01
459,normal,acne,pigmentation,2025-10-14
460,oily,pigmentation,dullness,2024-12-20
461,sensitive,sensitivity,aging,2025-08-27
462,oily,dehydration,pigmentation,2025-03-15
463,sensitive,acne,sensitivity,2025-01-15
464,combination,sensitivity,dullness,2024-09-28
465,oily,pigmentation,dehydration,2026-01-22
466,normal,aging,dehydration,2025-12-28
467,oily,pigmentation,sensitivity,2025-07-27
468,combination,aging,dehydration,2025-07-01
469,oily,dehydration,dullness,2024-09-13
470,normal,dehydration,aging,2026-06-08
471,sensitive,dullness,pigmentation,2026-01-08
472,normal,dullness,sensitivity,2024-09-07
473,combination,dehydration,aging,2025-04-13
474,combination,pigmentation,acne,2025-02-28
475,sensitive,aging,dullness,2026-01-05
476,sensitive,acne,pigmentation,2025-04-07
477,normal,dehydration,pigmentation,2025-10-09
478,oily,aging,dehydration,2025-01-17
479,sensitive,dullness,pigmentation,2026-05-01
480,oily,dullness,acne,2025-12-11
481,dry,pigmentation,acne,2025-03-22
482,normal,acne,aging,2025-04-21
483,dry,sensitivity,pigmentation,2024-10-30
484,sensitive,pigmentation,aging,2024-11-28
485,combination,acne,aging,2026-06-26
486,dry,pigmentation,dullness,2026-05-01
487,dry,sensitivity,dullness,2025-10-21
488,combination,pigmentation,dullness,2024-08-05
489,sensitive,sensitivity,pigmentation,2025-07-23
490,sensitive,aging,dehydration,2024-09-23
491,normal,sensitivity,aging,2026-05-24
492,normal,dullness,pigmentation,2024-08-02
493,sensitive,acne,sensitivity,2026-05-23
494,sensitive,dullness,dehydration,2024-11-23
495,dry,aging,pigmentation,2024-10-03
496,combination,pigmentation,dullness,2025-12-03
497,oily,dullness,aging,2025-11-29
498,dry,acne,pigmentation,2025-05-07
499,normal,dehydration,aging,2025-01-25
500,combination,dehydration,dullness,2026-04-10
501,oily,acne,pigmentation,2026-01-14
502,sensitive,aging,acne,2025-01-01
503,normal,dullness,dehydration,2024-11-23
504,normal,acne,sensitivity,2026-03-16
505,dry,aging,acne,2024-09-24
506,combination,pigmentation,acne,2024-10-11
507,combination,acne,sensitivity,2024-10-10
508,dry,dehydration,acne,2026-01-12
509,dry,aging,sensitivity,2025-03-04
510,dry,dehydration,aging,2026-03-11
511,normal,dullness,dehydration,2026-02-13
512,sensitive,sensitivity,pigmentation,2026-05-16
513,normal,sensitivity,acne,2025-07-11
514,normal,dullness,aging,2025-02-01
515,normal,aging,dehydration,2026-02-11
516,oily,aging,sensitivity,2026-02-20
517,normal,dehydration,pigmentation,2025-12-16
518,oily,aging,dehydration,2026-02-12
519,combination,dullness,pigmentation,2024-11-05
520,combination,pigmentation,acne,2026-03-04
521,dry,sensitivity,aging,2025-12-15
522,oily,dullness,aging,2025-11-25
523,oily,pigmentation,aging,2026-02-08
524,normal,dullness,aging,2024-08-17
525,dry,aging,dullness,2026-02-03
526,dry,acne,pigmentation,2025-07-16
527,normal,sensitivity,acne,2025-05-19
528,oily,sensitivity,pigmentation,2025-12-28
529,normal,sensitivity,dehydration,2025-07-27
530,normal,aging,dehydration,2026-03-04
531,combination,pigmentation,sensitivity,2025-07-19
532,oily,acne,dullness,2026-06-23
533,oily,dehydration,sensitivity,2025-08-20
534,dry,pigmentation,dehydration,2025-10-13
535,combination,sensitivity,pigmentation,2025-10-23
536,oily,sensitivity,pigmentation,2026-04-17
537,combination,acne,dullness,2024-07-06
538,oily,sensitivity,dullness,2026-06-17
539,combination,acne,dullness,2026-03-22
540,oily,aging,dehydration,2026-04-22
541,sensitive,aging,acne,2024-07-22
542,oily,sensitivity,dullness,2025-11-16
543,oily,dullness,sensitivity,2025-08-25
544,oily,sensitivity,dehydration,2025-01-04
545,normal,dullness,aging,2026-05-31
546,oily,dehydration,aging,2026-05-19
547,combination,sensitivity,pigmentation,2026-02-23
548,combination,sensitivity,pigmentation,2025-02-25
549,combination,aging,sensitivity,2024-07-21
550,sensitive,aging,dullness,2025-04-09
551,normal,sensitivity,pigmentation,2024-10-07
552,dry,dehydration,sensitivity,2024-09-30
553,normal,sensitivity,acne,2025-12-16
554,dry,dullness,pigmentation,2026-02-22
555,normal,sensitivity,acne,2026-03-11
556,combination,dehydration,pigmentation,2024-12-03
557,sensitive,dehydration,pigmentation,2025-03-04
558,normal,pigmentation,aging,2024-10-12
559,sensitive,dullness,aging,2025-07-01
560,normal,dehydration,dullness,2024-07-23
561,combination,dehydration,aging,2024-09-21
562,oily,sensitivity,dullness,2024-11-22
563,combination,pigmentation,dullness,2024-11-26
564,oily,pigmentation,acne,2026-04-07
565,normal,sensitivity,dullness,2025-01-08
566,dry,sensitivity,aging,2024-08-13
567,dry,pigmentation,sensitivity,2025-12-05
568,dry,aging,pigmentation,2024-11-18
569,sensitive,sensitivity,dullness,2025-10-24
570,combination,pigmentation,aging,2026-02-01
571,normal,dehydration,acne,2025-01-18
572,combination,acne,pigmentation,2026-03-08
573,dry,pigmentation,dullness,2025-07-20
574,oily,dehydration,dullness,2024-08-21
575,oily,dullness,dehydration,2026-03-14
576,dry,dullness,aging,2026-03-15
577,normal,sensitivity,pigmentation,2024-08-16
578,combination,pigmentation,dehydration,2024-12-15
579,normal,dullness,acne,2025-08-03
580,oily,dullness,dehydration,2025-09-13
581,oily,dehydration,sensitivity,2024-08-01
582,normal,pigmentation,dullness,2025-01-23
583,oily,dullness,dehydration,2024-09-11
584,oily,aging,acne,2026-04-30
585,combination,dullness,acne,2025-06-14
586,normal,sensitivity,dehydration,2025-01-22
587,sensitive,aging,pigmentation,2026-06-10
588,oily,dehydration,acne,2025-06-27
589,normal,sensitivity,dehydration,2026-05-27
590,normal,dehydration,sensitivity,2024-09-16
591,normal,sensitivity,aging,2025-02-24
592,normal,dullness,pigmentation,2026-02-19
593,dry,pigmentation,dehydration,2025-06-20
594,normal,sensitivity,dullness,2026-04-18
595,dry,dullness,aging,2024-11-26
596,normal,pigmentation,dehydration,2026-02-13
597,combination,pigmentation,dullness,2025-04-19
598,sensitive,pigmentation,dehydration,2026-05-10
599,sensitive,sensitivity,dehydration,2026-03-13
600,sensitive,acne,sensitivity,2024-07-20
601,sensitive,dehydration,dullness,2025-09-27
602,sensitive,dullness,sensitivity,2026-04-08
603,sensitive,acne,aging,2025-02-10
604,oily,dullness,acne,2026-02-10
605,normal,dehydration,pigmentation,2025-05-02
606,combination,dehydration,aging,2024-11-22
607,dry,dullness,aging,2025-02-22
608,combination,aging,sensitivity,2026-01-07
609,normal,acne,aging,2026-01-14
610,normal,acne,sensitivity,2026-01-25
611,normal,aging,sensitivity,2025-04-01
612,combination,dullness,pigmentation,2025-03-02
613,sensitive,acne,pigmentation,2025-06-21
614,dry,sensitivity,aging,2025-09-18
615,sensitive,dullness,acne,2026-05-22
616,sensitive,pigmentation,aging,2024-11-03
617,dry,sensitivity,pigmentation,2025-03-11
618,dry,pigmentation,sensitivity,2025-03-27
619,oily,sensitivity,acne,2026-04-22
620,oily,pigmentation,aging,2025-12-08
621,combination,aging,dullness,2025-11-26
622,combination,aging,dullness,2025-04-25
623,oily,sensitivity,aging,2024-12-08
624,combination,pigmentation,dehydration,2024-10-11
625,sensitive,sensitivity,dullness,2025-06-20
626,dry,aging,sensitivity,2025-10-13
627,dry,pigmentation,dehydration,2025-09-11
628,dry,dullness,aging,2025-01-14
629,combination,dehydration,acne,2025-11-16
630,dry,aging,acne,2025-09-06
631,sensitive,acne,pigmentation,2024-12-09
632,dry,aging,pigmentation,2025-06-05
633,combination,dullness,sensitivity,2025-07-30
634,dry,acne,aging,2025-01-16
635,oily,acne,pigmentation,2025-12-08
636,sensitive,sensitivity,aging,2026-05-23
637,dry,acne,aging,2024-12-07
638,dry,aging,pigmentation,2025-08-08
639,sensitive,dehydration,sensitivity,2025-11-11
640,normal,pigmentation,dehydration,2026-04-28
641,sensitive,aging,pigmentation,2024-08-28
642,normal,acne,sensitivity,2025-01-23
643,normal,dehydration,aging,2025-12-18
644,combination,dullness,acne,2025-04-18
645,sensitive,sensitivity,dehydration,2025-08-01
646,dry,sensitivity,pigmentation,2025-11-10
647,combination,aging,pigmentation,2025-11-21
648,combination,acne,dullness,2026-05-12
649,normal,aging,dehydration,2024-07-24
